# ids, mstar, gas_mass, sfr, sfr_compact, gas_Z, rstar, rgas
1.007910000000000000e+05,9.459075927734375000e+00,8.285527229309082031e+00,5.660269409418106079e-02,5.660269409418106079e-02,3.137364983558654785e-02,4.542707920074462891e+00,4.439769744873046875e+00
1.192660000000000000e+05,1.205047512054443359e+01,1.262022304534912109e+01,6.209072113037109375e+01,1.448794364929199219e+01,2.388756722211837769e-02,1.330620670318603516e+01,4.998931579589843750e+02
1.192670000000000000e+05,1.141371631622314453e+01,1.149126815795898438e+01,8.174394607543945312e+00,4.192565679550170898e-01,2.374094910919666290e-02,1.340595054626464844e+01,2.353520965576171875e+02
1.192680000000000000e+05,1.128770446777343750e+01,9.667835235595703125e+00,1.001492023468017578e+00,3.801369071006774902e-01,4.744596779346466064e-02,8.148647308349609375e+00,1.072427177429199219e+01
1.192700000000000000e+05,1.075691223144531250e+01,1.103864192962646484e+01,1.446796894073486328e+01,4.483620166778564453e+00,1.921831071376800537e-02,1.050756168365478516e+01,3.904773712158203125e+01
1.192710000000000000e+05,1.064946365356445312e+01,1.102345943450927734e+01,9.561359882354736328e-01,4.447410174179822206e-05,1.360444724559783936e-02,3.185542821884155273e+00,1.251902542114257812e+02
1.192720000000000000e+05,1.093689823150634766e+01,1.030460262298583984e+01,1.592665910720825195e+00,5.806758999824523926e-01,1.638309098780155182e-02,5.553321361541748047e+00,2.496463203430175781e+01
1.192730000000000000e+05,1.099454498291015625e+01,1.020816040039062500e+01,2.811471462249755859e+00,0.000000000000000000e+00,2.193689905107021332e-02,2.075955629348754883e+00,1.476858711242675781e+01
1.192740000000000000e+05,1.027536869049072266e+01,1.068460655212402344e+01,2.604645252227783203e+00,6.179154515266418457e-01,1.843351311981678009e-02,9.720522880554199219e+00,3.603879928588867188e+01
1.192750000000000000e+05,1.051174259185791016e+01,1.016489410400390625e+01,1.126383900642395020e+00,7.664249539375305176e-01,2.234811149537563324e-02,3.452701330184936523e+00,5.010997390747070312e+01
1.192760000000000000e+05,1.069492053985595703e+01,9.148111343383789062e+00,1.926256269216537476e-01,6.596653908491134644e-02,3.623833134770393372e-02,6.281123638153076172e+00,7.612644195556640625e+00
1.192770000000000000e+05,1.058781147003173828e+01,9.829377174377441406e+00,6.954712271690368652e-01,1.149079576134681702e-02,1.817984506487846375e-02,4.408373355865478516e+00,1.518043231964111328e+01
1.192780000000000000e+05,1.041595172882080078e+01,1.049504184722900391e+01,2.533987760543823242e+00,8.832874298095703125e-01,2.694371715188026428e-02,6.281150341033935547e+00,2.709029769897460938e+01
1.192790000000000000e+05,1.016911506652832031e+01,1.025127601623535156e+01,1.162061929702758789e+00,3.502359092235565186e-01,2.145380713045597076e-02,6.245492458343505859e+00,2.014477920532226562e+01
1.192810000000000000e+05,1.030905914306640625e+01,1.029322338104248047e+01,3.362258911132812500e+00,8.701694011688232422e-01,1.995730772614479065e-02,7.232703208923339844e+00,1.597185611724853516e+01
1.192820000000000000e+05,1.020084095001220703e+01,1.033255290985107422e+01,3.678169250488281250e-01,1.869851201772689819e-01,2.202693559229373932e-02,6.594882488250732422e+00,2.127869033813476562e+01
1.192830000000000000e+05,1.023411083221435547e+01,9.849438667297363281e+00,1.348359942436218262e+00,7.458501458168029785e-01,2.736174687743186951e-02,6.227482318878173828e+00,1.052530574798583984e+01
1.192840000000000000e+05,1.009969520568847656e+01,1.006849956512451172e+01,1.743177056312561035e+00,1.135710835456848145e+00,2.424997836351394653e-02,5.826995849609375000e+00,2.382623481750488281e+01
1.192850000000000000e+05,1.030435943603515625e+01,9.230645179748535156e+00,7.167571224272251129e-03,0.000000000000000000e+00,1.830813474953174591e-02,2.064883470535278320e+00,3.056891059875488281e+01
