# ids, mstar, gas_mass, sfr, sfr_compact, gas_Z, rstar, rgas
1.341200000000000000e+04,9.382058143615722656e+00,9.305591583251953125e+00,1.202062815427780151e-01,1.177955791354179382e-01,1.618500612676143646e-02,1.785498976707458496e+00,1.357192897796630859e+01
1.341700000000000000e+04,9.231112480163574219e+00,9.723606109619140625e+00,7.079504728317260742e-01,5.834680795669555664e-01,1.285251509398221970e-02,1.669134378433227539e+00,1.295645427703857422e+01
1.342000000000000000e+04,9.257131576538085938e+00,9.633399009704589844e+00,9.687483310699462891e-01,5.932429432868957520e-01,7.838747464120388031e-03,4.466145515441894531e+00,1.463073635101318359e+01
1.342200000000000000e+04,9.358809471130371094e+00,9.074441909790039062e+00,1.914345324039459229e-01,2.784934267401695251e-02,2.476506307721138000e-02,7.428148388862609863e-01,1.438357543945312500e+01
1.342700000000000000e+04,9.666444778442382812e+00,9.490808486938476562e+00,5.038794875144958496e-01,4.014239609241485596e-01,1.864226534962654114e-02,2.555633544921875000e+00,7.505552768707275391e+00
1.343200000000000000e+04,9.441582679748535156e+00,9.485579490661621094e+00,3.272321224212646484e-01,2.147291004657745361e-01,1.409516949206590652e-02,3.234312534332275391e+00,7.631985187530517578e+00
1.344000000000000000e+04,9.972590446472167969e+00,8.943141937255859375e+00,2.172530174255371094e+00,7.249115705490112305e-01,5.317534878849983215e-02,4.579924941062927246e-01,6.866963505744934082e-01
1.346400000000000000e+04,9.878601074218750000e+00,9.040618896484375000e+00,1.993750572204589844e+00,1.224705576896667480e+00,4.105763137340545654e-02,5.718155503273010254e-01,8.317201733589172363e-01
1.348400000000000000e+04,9.365591049194335938e+00,7.917746543884277344e+00,2.517220377922058105e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.148216247558593750e+00,1.511987400054931641e+01
1.351200000000000000e+04,9.386713981628417969e+00,8.818621635437011719e+00,1.699743866920471191e-01,1.535187363624572754e-01,1.439898461103439331e-02,2.737665891647338867e+00,2.358097553253173828e+00
1.354900000000000000e+04,9.563169479370117188e+00,8.864733695983886719e+00,4.260720312595367432e-01,5.001828074455261230e-02,5.416023731231689453e-02,5.023301839828491211e-01,1.629094243049621582e+00
1.360000000000000000e+04,9.414226531982421875e+00,8.905818939208984375e+00,9.550768733024597168e-01,2.132960408926010132e-01,5.023601651191711426e-02,4.360172152519226074e-01,9.525161981582641602e-01
1.364000000000000000e+04,9.031696319580078125e+00,9.465411186218261719e+00,8.241395950317382812e+00,6.479456901550292969e+00,3.659992292523384094e-02,6.738290190696716309e-01,8.436117172241210938e-01
1.365700000000000000e+04,9.308157920837402344e+00,8.852714538574218750e+00,1.997444868087768555e+00,8.037930727005004883e-01,4.906047508120536804e-02,3.937833309173583984e-01,5.374258160591125488e-01
2.678200000000000000e+04,1.247271537780761719e+01,1.366757488250732422e+01,1.158940982818603516e+01,4.382093429565429688e+00,5.502603482455015182e-03,8.957136535644531250e+01,7.427649536132812500e+02
2.678300000000000000e+04,1.166769218444824219e+01,1.011584091186523438e+01,6.598419189453125000e+00,3.058500766754150391e+00,2.324933186173439026e-02,1.241592025756835938e+01,2.381761550903320312e+01
2.678400000000000000e+04,1.079952621459960938e+01,1.112913513183593750e+01,7.988167926669120789e-03,3.022909862920641899e-03,8.857245557010173798e-03,8.243893623352050781e+00,1.935279388427734375e+02
2.678500000000000000e+04,1.154757308959960938e+01,1.003061485290527344e+01,4.313135623931884766e+00,3.198678791522979736e-01,2.327688597142696381e-02,1.017945861816406250e+01,1.892987251281738281e+01
2.678800000000000000e+04,1.091513919830322266e+01,1.036806011199951172e+01,7.333804965019226074e-01,9.461213834583759308e-03,1.709205284714698792e-02,1.250353622436523438e+01,3.065247535705566406e+01
2.679200000000000000e+04,1.079538440704345703e+01,1.009957981109619141e+01,3.144891560077667236e-01,0.000000000000000000e+00,2.175552956759929657e-02,3.657609224319458008e+00,3.428910446166992188e+01
2.679700000000000000e+04,1.074330997467041016e+01,1.082727622985839844e+01,1.671794176101684570e+00,0.000000000000000000e+00,1.426399406045675278e-02,9.342203140258789062e+00,4.764600372314453125e+01
2.680800000000000000e+04,1.047507476806640625e+01,8.322948455810546875e+00,1.828047819435596466e-02,1.828047819435596466e-02,4.513242468237876892e-02,1.244014549255371094e+01,3.005808353424072266e+00
2.681100000000000000e+04,1.002116489410400391e+01,1.036951351165771484e+01,2.749800920486450195e+00,3.104777932167053223e-01,1.573556847870349884e-02,5.821690559387207031e+00,1.835363197326660156e+01
2.681400000000000000e+04,1.048242092132568359e+01,8.827022552490234375e+00,1.055661663413047791e-01,1.055661663413047791e-01,3.566728532314300537e-02,3.711564302444458008e+00,2.936661958694458008e+00
2.681800000000000000e+04,9.609952926635742188e+00,1.011323642730712891e+01,5.306540131568908691e-01,2.941063642501831055e-01,1.397421583533287048e-02,4.341518402099609375e+00,1.835909080505371094e+01
2.681900000000000000e+04,1.025357437133789062e+01,8.151854515075683594e+00,6.516413297504186630e-03,6.516413297504186630e-03,6.422440707683563232e-02,5.409343719482421875e+00,2.565416574478149414e+00
2.682100000000000000e+04,1.010705375671386719e+01,9.201035499572753906e+00,3.717304766178131104e-01,3.709380924701690674e-01,2.926147356629371643e-02,3.626844406127929688e+00,5.363888740539550781e+00
2.683200000000000000e+04,9.813352584838867188e+00,9.852771759033203125e+00,2.765797376632690430e-01,2.295107543468475342e-01,1.671479642391204834e-02,6.062543869018554688e+00,1.897914314270019531e+01
2.683300000000000000e+04,1.021395301818847656e+01,9.570371627807617188e+00,3.439376652240753174e-01,3.425624668598175049e-01,3.117041289806365967e-02,6.292593002319335938e+00,1.474977970123291016e+01
2.683400000000000000e+04,1.001342964172363281e+01,9.287359237670898438e+00,1.816680878400802612e-01,1.811190843582153320e-01,3.334027156233787537e-02,5.939290046691894531e+00,9.674649238586425781e+00
2.683500000000000000e+04,1.020047855377197266e+01,9.559527397155761719e+00,6.756320595741271973e-01,6.627115607261657715e-01,3.147192671895027161e-02,3.460963964462280273e+00,6.266185760498046875e+00
